AREA	DISTRICT	PROPTYPE	ASKPRICE	SELPRICE	BEDS	PUBROOMS	GARAGE	GARDEN	perRoom	increase
;AREA	East Lothian	West Lothian	Midlothian	Edinburgh City Centre	Edinburgh South	Edinburgh South West	Edinburgh West	Edinburgh North West	Edinburgh North	Edinburgh East
East Lothian	ABERLADY	VT	47000.00	60000.00	2	1	N	Y	20000.00	27.65
East Lothian	ABERLADY	CT	140000.00	148100.00	2	2	N	Y	37025.00	5.78
East Lothian	ABERLADY	BT	49000.00	53000.00	2	1	N	Y	17666.67	8.16
East Lothian	ATHELSTANEFORD	BS	58000.00	94157.00	2	1	Y	Y	31385.67	62.33
East Lothian	COCKENZIE	FG	39000.00	41900.00	1	1	N	Y	20950.00	7.43
East Lothian	COCKENZIE	FM	48750.00	48750.00	2	1	N	N	16250.00	0.00
East Lothian	COCKENZIE	VS	60000.00	70100.00	2	2	Y	Y	17525.00	16.83
East Lothian	COCKENZIE	CT	58000.00	71500.00	2	1	N	Y	23833.33	23.27
East Lothian	COCKENZIE	FU	39000.00	42100.00	1	1	N	N	21050.00	7.94
East Lothian	COCKENZIE	FU	35500.00	36500.00	1	1	N	Y	18250.00	2.81
East Lothian	COCKENZIE	CT	120000.00	142500.00	3	2	Y	Y	28500.00	18.75
East Lothian	DIRLETON	CT	82000.00	106000.00	2	1	Y	Y	35333.33	29.26
East Lothian	DIRLETON	CT	135000.00	152000.00	3	1	Y	Y	38000.00	12.59
East Lothian	DOLPHINGSTONE	CT	110000.00	150000.00	3	2	Y	Y	30000.00	36.36
East Lothian	DUNBAR	VT	148000.00	162000.00	5	2	N	Y	23142.86	9.45
East Lothian	DUNBAR	VT	99950.00	99000.00	3	2	N	Y	19800.00	-0.95
East Lothian	DUNBAR	VD	169000.00	169000.00	4	3	Y	Y	24142.86	0.00
East Lothian	DUNBAR	VD	97500.00	97500.00	3	3	Y	Y	16250.00	0.00
East Lothian	DUNBAR	VS	83000.00	83000.00	3	1	N	Y	20750.00	0.00
East Lothian	DUNBAR	FT	45995.00	45995.00	1	1	N	N	22997.50	0.00
East Lothian	DUNBAR	FG	70000.00	70000.00	2	1	N	N	23333.33	0.00
East Lothian	DUNBAR	FL	44000.00	46500.00	2	1	N	Y	15500.00	5.68
East Lothian	DUNBAR	FL	33950.00	43500.00	2	1	N	Y	14500.00	28.12
East Lothian	DUNBAR	BS	55000.00	58126.00	2	1	N	Y	19375.33	5.68
East Lothian	DUNBAR	F1	54000.00	54250.00	4	1	N	Y	10850.00	0.46
East Lothian	DUNBAR	VT	115000.00	116000.00	3	3	Y	Y	19333.33	0.86
East Lothian	DUNBAR	FG	24950.00	27500.00	1	1	N	N	13750.00	10.22
East Lothian	DUNBAR	FM	34000.00	35000.00	1	1	N	N	17500.00	2.94
East Lothian	DUNBAR	FO	50000.00	57107.00	3	1	N	N	14276.75	14.21
East Lothian	DUNBAR	VD	72000.00	74000.00	4	1	N	Y	14800.00	2.77
East Lothian	DUNBAR	FU	43000.00	44000.00	2	1	N	Y	14666.67	2.32
East Lothian	DUNBAR	VT	78000.00	89867.00	3	2	Y	Y	17973.40	15.21
East Lothian	DUNBAR	FL	82000.00	100000.00	3	1	Y	Y	25000.00	21.95
East Lothian	DUNBAR	VD	85000.00	89000.00	2	2	Y	Y	22250.00	4.70
East Lothian	DUNBAR	R	64000.00	65000.00	2	1	N	N	21666.67	1.56
East Lothian	DUNBAR	VT	152000.00	161000.00	6	2	N	Y	20125.00	5.92
East Lothian	DUNBAR	VD	56000.00	63000.00	2	1	N	Y	21000.00	12.50
East Lothian	DUNBAR	FL	49995.00	49995.00	3	1	N	Y	12498.75	0.00
East Lothian	DUNBAR	VD	122500.00	122500.00	4	2	Y	Y	20416.67	0.00
East Lothian	DUNBAR	VD	185000.00	212000.00	4	1	Y	Y	42400.00	14.59
East Lothian	DUNBAR	CT	75000.00	78750.00	2	2	N	Y	19687.50	5.00
East Lothian	DUNBAR	CT	61000.00	70000.00	2	2	N	Y	17500.00	14.75
East Lothian	DUNBAR	CT	149000.00	151000.00	3	2	N	Y	30200.00	1.34
East Lothian	DUNBAR	BT	98000.00	120000.00	2	1	Y	Y	40000.00	22.44
East Lothian	DUNBAR	CT	48000.00	48500.00	1	1	N	Y	24250.00	1.04
East Lothian	DUNBAR	BS	55000.00	55000.00	2	1	N	Y	18333.33	0.00
East Lothian	DUNBAR	BD	71500.00	71500.00	3	1	N	Y	17875.00	0.00
East Lothian	DUNBAR	VS	54000.00	56000.00	2	1	N	Y	18666.67	3.70
East Lothian	DUNBAR	VS	54000.00	55000.00	2	1	N	Y	18333.33	1.85
East Lothian	EAST LINTON	VD	410000.00	430000.00	5	3	Y	Y	53750.00	4.87
East Lothian	EAST LINTON	VT	149000.00	190000.00	3	3	N	Y	31666.67	27.51
East Lothian	EAST LINTON	FL	49500.00	54250.00	2	1	N	Y	18083.33	9.59
East Lothian	EAST LINTON	CT	99000.00	110000.00	2	1	N	Y	36666.67	11.11
East Lothian	EAST LINTON	VS	74000.00	76000.00	3	1	Y	Y	19000.00	2.70
East Lothian	EAST LINTON	VS	75000.00	76500.00	3	1	Y	Y	19125.00	2.00
East Lothian	EAST LINTON	VT	59995.00	59995.00	2	1	N	Y	19998.33	0.00
East Lothian	EAST LINTON	BS	75000.00	77000.00	3	1	N	Y	19250.00	2.66
East Lothian	EAST LINTON	CT	155000.00	170000.00	3	2	Y	Y	34000.00	9.67
East Lothian	ELPHINSTONE	BD	59000.00	65000.00	2	1	N	Y	21666.67	10.16
East Lothian	ELPHINSTONE	BS	38000.00	40000.00	1	1	N	Y	20000.00	5.26
East Lothian	ELPHINSTONE	FL	45000.00	48000.00	3	1	N	N	12000.00	6.66
East Lothian	ELPHINSTONE	CT	54000.00	61500.00	3	2	Y	Y	12300.00	13.88
East Lothian	GIFFORD	VT	89500.00	113100.00	2	2	N	Y	28275.00	26.36
East Lothian	GIFFORD	CT	105000.00	114500.00	3	2	N	Y	22900.00	9.04
East Lothian	GULLANE	BD	285000.00	280000.00	3	2	N	Y	56000.00	-1.75
East Lothian	GULLANE	VD	210000.00	260075.00	4	2	Y	Y	43345.83	23.84
East Lothian	GULLANE	BD	195000.00	230500.00	4	2	Y	Y	38416.67	18.20
East Lothian	GULLANE	FU	118000.00	132000.00	2	1	Y	Y	44000.00	11.86
East Lothian	GULLANE	VD	285000.00	270000.00	6	2	Y	Y	33750.00	-5.26
East Lothian	GULLANE	BS	68000.00	68500.00	2	1	N	Y	22833.33	0.73
East Lothian	GULLANE	VS	79000.00	92290.00	3	1	Y	Y	23072.50	16.82
East Lothian	GULLANE	VT	86000.00	88000.00	3	1	N	Y	22000.00	2.32
East Lothian	GULLANE	VT	95000.00	95000.00	3	2	N	Y	19000.00	0.00
East Lothian	GULLANE	VT	74000.00	74000.00	2	1	N	Y	24666.67	0.00
East Lothian	GULLANE	VT	55000.00	58500.00	3	1	Y	Y	14625.00	6.36
East Lothian	GULLANE	VD	145000.00	143000.00	4	1	Y	Y	28600.00	-1.37
East Lothian	HADDINGTON	CT	108000.00	125152.00	2	2	N	Y	31288.00	15.88
East Lothian	HADDINGTON	FL	76000.00	76000.00	3	3	N	Y	12666.67	0.00
East Lothian	HADDINGTON	VD	335000.00	332000.00	5	2	Y	Y	47428.57	-0.89
East Lothian	HADDINGTON	VD	135000.00	181000.00	3	3	N	Y	30166.67	34.07
East Lothian	HADDINGTON	FT	35950.00	35950.00	1	1	N	N	17975.00	0.00
East Lothian	HADDINGTON	VD	148000.00	148000.00	3	2	Y	Y	29600.00	0.00
East Lothian	HADDINGTON	FU	59995.00	64500.00	3	1	N	N	16125.00	7.50
East Lothian	HADDINGTON	F1	32500.00	32000.00	1	1	N	N	16000.00	-1.53
East Lothian	HADDINGTON	FU	68000.00	68000.00	4	1	N	N	13600.00	0.00
East Lothian	HADDINGTON	VD	125000.00	145000.00	3	1	N	Y	36250.00	16.00
